,id,popularity,release_date,runtime,title,vote_average,vote_count,director,content,posters
10,1452,57.925623,"Jun, 2006",2hr 34min,Superman Returns,5.4,1400,Bryan Singer,adventure fantasy action sciencefiction savingtheworld dccomic invulnerability sequel superhero basedoncomicbook kryptonite superpower superhumanstrength lexluthor superman return discover 5year absence allow lex luthor walk free close felt abandon move luthor plot ultimate revenge million kill change face planet forever rid man steel dccomic legendarypicture warnerbro badhatharryproduction   brandonrouth kevinspacey katebosworth bryansinger,https://image.tmdb.org/t/p/w500/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg
11,10764,107.928811,"Oct, 2008",1hr 46min,Quantum of Solace,6.1,2965,Marc Forster,adventure action thriller crime kill undercover secretagent britishsecretservice quantum solace continue adventure james bond casino royale betray vesper woman love 007 fight urge late mission personal pursue determination uncover truth bond m interrogate mr white reveal organization blackmail vesper far complex dangerous imagine eonproduction love hate justice revenge danielcraig olgakurylenko mathieuamalric marcforster,https://image.tmdb.org/t/p/w500/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg
12,58,145.847379,"Jun, 2006",2hr 31min,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Gore Verbinski,adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger captain jack sparrow work way blood debt ghostly davey jones attempt avoid eternal damnation waltdisneypicture jerrybruckheimerfilm secondmateproductions jack johnnydepp orlandobloom keiraknightley goreverbinski,https://image.tmdb.org/t/p/w500/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
13,57201,49.046956,"Jul, 2013",2hr 29min,The Lone Ranger,5.9,2311,Gore Verbinski,action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto texas ranger chase gang outlaws lead butch cavendish gang ambush ranger seemingly kill survivor find american indian name tonto nurse health ranger don mask ride white stallion name silver team tonto bring unscrupulous gang ilk justice waltdisneypicture jerrybruckheimerfilms infinitumnihil silverbulletproductionsii blindwinkproduction classicmedia mask johnnydepp armiehammer williamfichtner goreverbinski,https://image.tmdb.org/t/p/w500/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg
14,49521,99.398009,"Jun, 2013",2hr 23min,Man of Steel,6.5,6359,Zack Snyder,action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpower dcextendeduniverse young boy learn extraordinary power earth young man journey discover come send hero emerge save world annihilation symbol hope mankind legendarypicture warnerbros dcentertainment syncopy cruelandunusualfilm believe man fly henrycavill amyadams michaelshannon zacksnyder,https://image.tmdb.org/t/p/w500/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg
15,2454,53.978602,"May, 2008",2hr 30min,The Chronicles of Narnia: Prince Caspian,6.3,1630,Andrew Adamson,adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbee wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince life threaten evil king miraz help colorful cast new character include trufflehunter badger nikabrik dwarf pevensie clan embark incredible quest ensure narnia return rightful heir waltdisney waldenmedia stillkingfilms ozumifilms propeler silverbellfilm revolutionsunstudio hope new face benbarne williammoseley annapopplewell andrewadamson,https://image.tmdb.org/t/p/w500/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg
16,24428,144.448633,"Apr, 2012",2hr 23min,The Avengers,7.4,11776,Joss Whedon,sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse unexpected enemy emerge threaten global safety security nick fury director international peacekeeping agency know shield find need team pull world brink disaster span globe dare recruitment effort begin paramountpicture marvelstudio assembly require robertdowneyjr chrisevans markruffalo josswhedon,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
17,1865,135.413856,"May, 2011",2hr 16min,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Rob Marshall,adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d captain jack sparrow cross path woman past s sure love   s ruthless con artist s find fabled fountain youth force aboard queen anne revenge ship formidable pirate blackbeard jack find unexpected adventure not know fear blackbeard woman past waltdisneypicture jerrybruckheimerfilms movingpicturecompanympc live forever die try johnnydepp penélopecruz ianmcshane robmarshall,https://image.tmdb.org/t/p/w500/keGfSvCmYj7CvdRx36OdVrAEibE.jpg
18,41154,52.035179,"May, 2012",1hr 46min,Men in Black 3,6.2,4160,Barry Sonnenfeld,action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory agent j smith k tommy lee jones backin time j see inexplicable thing 15 year man black alien perplex wry reticent partner ks life fate planet stake agent j travel time thing right j discover secret universe k tell   secret reveal team young agent k josh brolin save partner agency future humankind amblinentertainment mediamagikentertainment imagenationabudhabifz hemispheremediacapital parkesmacdonaldproduction time willsmith tommyleejones joshbrolin barrysonnenfeld,https://image.tmdb.org/t/p/w500/90DdoEStzeObs96fsYf4GG544iN.jpg
19,122917,120.965743,"Dec, 2014",2hr 24min,The Hobbit: The Battle of the Five Armies,7.1,4760,Peter Jackson,action adventure fantasy corruption elve dwarve orcs middleearthtolkien hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery immediately event desolation smaug bilbo dwarf try defend erebor mountain treasure claim man ruin laketown elf mirkwood army orcs lead azog defiler march erebor fuel rise dark lord sauron dwarve elf man unite hope middleearth fall bilbos hand wingnutfilm newlinecinema warnerbrospicture 3foot7 metrogoldwynmayermgm witness define chapter middleearth saga martinfreeman ianmckellen richardarmitage peterjackson,https://image.tmdb.org/t/p/w500/xT98tLqatZPQApyRmlPL12LtiWp.jpg
20,1930,89.866276,"Jun, 2012",2hr 16min,The Amazing Spider-Man,6.5,6586,Marc Webb,action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpower geneticengineere socialoutcast duringcreditsstinger peter parker outcast high schooler abandon parent boy leave raise uncle ben aunt like teenager peter try figure get person today peter discover mysterious briefcase belong father begin quest understand parent disappearance – lead directly oscorp lab dr curt connor father partner spiderman set collision course connor alter ego lizard peter lifealtering choice use power shape destiny hero columbiapicture lauraziskinproduction marvelentertainment untold story begin andrewgarfield emmastone rhysifan marcwebb,https://image.tmdb.org/t/p/w500/jIfkQNARYyERqRAq1p1c8xgePp4.jpg
21,20662,37.668301,"May, 2010",2hr 20min,Robin Hood,6.2,1398,Ridley Scott,action adventure robinhood archer knight sherwoodforest bowandarrow middleage medieval kingofengland soldier robin happen die robert loxley promise return man sword family nottingham assume roberts identity romance widow marion draw ire town sheriff king johns henchman godfrey imagineentertainment universalpictures scottfreeproduction relativitymedia rise rise lamb lion russellcrowe cateblanchett maxvonsydow ridleyscott,https://image.tmdb.org/t/p/w500/9NS5QGOfck24yL3bZqWeW06PgPC.jpg
22,57158,94.370564,"Dec, 2013",2hr 41min,The Hobbit: The Desolation of Smaug,7.6,4524,Peter Jackson,adventure fantasy elf dwarve orcs hobbit dragon wizard swordandsorcery dwarf bilbo gandalf successfully escape misty mountain bilbo gain ring continue journey gold dragon smaug wingnutfilm newlinecinema warnerbrospicture metrogoldwynmayermgm darkness desolation lie great danger martinfreeman ianmckellen richardarmitage peterjackson,https://image.tmdb.org/t/p/w500/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg
23,2268,42.990906,"Dec, 2007",1hr 53min,The Golden Compass,5.8,1303,Chris Weitz,adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel overhear shocking secret precocious orphan lyra belacqua trade carefree existence roam hall jordan college otherworldly adventure far north unaware destiny newlinecinema ingeniousfilmpartner depthoffield scholasticproduction world   compass way dakotabluerichards nicolekidman danielcraig chrisweitz,https://image.tmdb.org/t/p/w500/lyaS7S4emzEaYUcSnCvyqfJpOcA.jpg
24,254,61.22601,"Dec, 2005",3hr 7min,King Kong,6.6,2337,Peter Jackson,adventure drama action filmbusiness screenplay showbusiness filmmake filmproducer exoticisland monster indigenous ship dinosaur 1933 new york overly ambitious movie producer coerce cast hire ship crew travel mysterious skull island encounter kong giant ape immediately smite lead lady wingnutfilm universalpicture bigprimatepicture mfpvfilm eighth wonder world naomiwatts jackblack adrienbrody peterjackson,https://image.tmdb.org/t/p/w500/4fNOp3itFBw7L28kAHxwRPqyZ2K.jpg
25,597,100.025899,"Nov, 1997",3hr 14min,Titanic,7.5,7562,James Cameron,drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwomanpoorman love disaster tragiclove classdifference imax starcrossedlover steerage salvage richsnob 3d 1910 84 year later 101yearold woman name rise dewitt bukater tell story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april 10th 1912 ship call titanic young rise board depart ship upperclass passenger mother ruth dewitt bukater fiancé caledon hockley drifter artist name jack dawson good friend fabrizio de rossi win thirdclass ticket ship game explain story departure death titanic voyage april 15th 1912 220 morning paramountpicture twentiethcenturyfoxfilmcorporation lightstormentertainment earth come katewinslet leonardodicaprio francesfisher jamescameron,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
26,271110,198.372395,"Apr, 2016",2hr 27min,Captain America: Civil War,7.1,7241,Anthony Russo,adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d follow event age ultron collective government world pass act design regulate superhuman activity polarize opinion avenger cause faction iron man captain america cause epic battle ally studiobabelsberg marvelstudios waltdisneystudiosmotionpicture vitaraydutchproductionsiii deluxedigitalstudio divide fall chrisevan robertdowneyjr scarlettjohansson anthonyrusso,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
27,44833,64.928382,"Apr, 2012",2hr 11min,Battleship,5.5,2114,Peter Berg,thriller action adventure sciencefiction fight usnavy mindreade hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlande jetfighterpilot navylieutenant permissiontomarry ussjohnpauljone basedonboardgame aftercreditsstinger mightymo ussmissouri mankind beam radio signal space reply come ' planet g ' form alien craft splash water hawaii lieutenant alex hopper weapon officer assign uss john paul jones international naval coalition world hope survival engage hostile alien force unimaginable strength take invader hopper try live potential brother fiancées father admiral shane expect universalpicture hasbro bluegrassfilm film44 battle earth begin sea taylorkitsch alexanderskarsgård rihanna peterberg,https://image.tmdb.org/t/p/w500/9b0Im7SfedHiajTwzSL9zGyBI7M.jpg
28,135397,418.708552,"Jun, 2015",2hr 4min,Jurassic World,6.5,8662,Colin Trevorrow,action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror twentytwo year event jurassic park isla nublar feature fully function dinosaur theme park jurassic world originally envision john hammond universalstudios amblinentertainment legendarypicture fujitelevisionnetwork dentsu park open chrispratt brycedallashoward irrfankhan colintrevorrow,https://image.tmdb.org/t/p/w500/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg
29,37724,93.004993,"Oct, 2012",2hr 23min,Skyfall,6.9,7604,Sam Mendes,action adventure thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao bond late assignment go gravely wrong agent world expose mi6 attack force m relocate agency event cause authority position challenge gareth mallory new chairman intelligence security committee mi6 compromise inside m leave ally trust bond 007 take shadow   aid field agent eve   follow trail mysterious silva lethal hidden motive reveal columbiapicture think sin danielcraig judidench javierbardem sammende,https://image.tmdb.org/t/p/w500/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg
30,558,35.149586,"Jun, 2004",2hr 7min,Spider-Man 2,6.7,4321,Sam Raimi,action adventure fantasy dualidentity loveofoneslife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain peter parker go major identity crisis burn spiderman decide shelve superhero alter ego leave city suffer wake carnage leave evil doc ock meantime parker not act feeling mary jane watson girl s love childhood columbiapicture lauraziskinproduction marvelenterprise s hero tobeymaguire kirstendunst jamesfranco samraimi,https://image.tmdb.org/t/p/w500/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg
31,68721,77.68208,"Apr, 2013",2hr 10min,Iron Man 3,6.8,8806,Shane Black,action adventure sciencefiction terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis tony stark world tear apart formidable terrorist call mandarin start odyssey rebuilding retribution marvelstudio unleash power armor robertdowneyjr gwynethpaltrow doncheadle shaneblack,https://image.tmdb.org/t/p/w500/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg
32,12155,78.530105,"Mar, 2010",1hr 48min,Alice in Wonderland,6.4,4645,Tim Burton,family fantasy adventure basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d alice unpretentious individual 19yearold betroth dunce english nobleman engagement party escape crowd consider marriage fall hole garden spot unusual rabbit arrive strange surreal place call underland find world resemble nightmare child fill talk animal villainous queen knight frumious bandersnatche alice realize reason – conquer horrific jabberwocky restore rightful queen throne waltdisneypicture teamtodd timburtonproduction rothfilm zanuckcompanythe invite important date miawasikowska johnnydepp annehathaway timburton,https://image.tmdb.org/t/p/w500/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg
33,36668,3.857526,"May, 2006",1hr 44min,X-Men: The Last Stand,6.3,3525,Brett Ratner,adventure action sciencefiction thriller mutant marvelcomic basedoncomicbook superhuman beast cyclop aftercreditsstinger cure find treat mutation line draw xman brotherhood band powerful mutant organize xavier ally magneto ingeniousfilmpartners twentiethcenturyfoxfilmcorporation donnerscompany duneentertainment majorstudiopartner badhatharryproduction thinkfilm marvelenterprise x3canadaproductions x3usproductions xm3service stand hughjackman halleberry ianmckellen brettratner,https://image.tmdb.org/t/p/w500/sNSvwqiNXjEvDSeQFsJAGPEP7Gl.jpg
34,62211,89.186492,"Jun, 2013",1hr 44min,Monsters University,7.0,3528,Dan Scanlon,animation family monster dormitory game animation bestfriend university scary aftercreditsstinger look relationship mike sulley day monster university — not necessarily good friend waltdisneypicture pixaranimationstudio school look scary billycrystal johngoodman stevebuscemi danscanlon,https://image.tmdb.org/t/p/w500/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg
35,8373,21.939663,"Jun, 2009",2hr 30min,Transformers: Revenge of the Fallen,6.0,3138,Michael Bay,sciencefiction action adventure egypt sun chaos symbol artifact transformer tank robot imax duringcreditsstinger sam witwicky leave autobot normal life mind fill cryptic symbol decepticon target drag transformer war paramountpicture dreamworksskg amblinentertainment dibonaventurapicture platinumdune hasbrostudios revolutionsunstudio revenge come shialabeouf meganfox joshduhamel michaelbay,https://image.tmdb.org/t/p/w500/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg
36,91314,116.840296,"Jun, 2014",2hr 45min,Transformers: Age of Extinction,5.8,3095,Michael Bay,sciencefiction action adventure sequel alien transformer giantrobot robot imax transformingrobot humanity pick piece follow conclusion transformer dark moon autobot decepticon vanish face planet group powerful ingenious businessman scientist attempt learn past transformer incursion push boundary technology control   ancient powerful transformer menace set earth crosshair paramountpicture amblinentertainment dibonaventurapicture platinumdunes chinamoviechannel hasbrostudios ianbryceproduction revolutionsunstudio war extinction markwahlberg stanleytucci kelseygrammer michaelbay,https://image.tmdb.org/t/p/w500/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg
37,68728,46.985445,"Mar, 2013",2hr 10min,Oz: The Great and Powerful,5.7,3530,Sam Raimi,fantasy adventure family circus witch magic hope illusion lose magictrick wizard 3d oscar digg smalltime circus illusionist conartist whisk kansas land oz inhabitant assume s great wizard prophecy save oz clutch evil waltdisneypicture rothfilm oz jamesfranco milakunis rachelweisz samraimi,https://image.tmdb.org/t/p/w500/tkzfAUEKoUp4YFNbZV9hfpZOz0z.jpg
38,102382,89.270217,"Apr, 2014",2hr 22min,The Amazing Spider-Man 2,6.5,4179,Marc Webb,action adventure fantasy obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpower peter parker life busy take bad guy spiderman spend time person love gwen stacy high school graduation come quickly peter forget promise gwen father protect stay away promise thing change peter new villain electro emerge old friend harry osborn return peter uncover new clue past columbiapicture marvelenterprise aviaradproduction matttolmachproduction secret andrewgarfield emmastone jamiefoxx marcwebb,https://image.tmdb.org/t/p/w500/c3e9e18SSlvFd1cQaGmUj5tqL5P.jpg
39,20526,73.79505,"Dec, 2010",2hr 5min,TRON: Legacy,6.3,2841,Joseph Kosinski,adventure action sciencefiction artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy sam flynn techsavvy dare son kevin flynn investigates father disappearance pull grid help mysterious program name quorra sam quest stop evil dictator clu cross real world waltdisneypicture liveplanet pranastudio seanbaileyproduction revolutionsunstudio kontseptfilmcompany game change garretthedlund jeffbridges oliviawilde josephkosinski,https://image.tmdb.org/t/p/w500/vuifSABRpSnxCAOxEnWpNbZSXpp.jpg
40,49013,49.98659,"Jun, 2011",1hr 46min,Cars 2,5.8,2033,John Lasseter,animation family adventure comedy carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger star race car lightning mcqueen pal mater head overseas compete world grand prix race road championship rocky mater gets catch intriguing adventure international espionage waltdisneypicture pixaranimationstudio kaciao owenwilson larrythecableguy michaelcaine johnlasseter,https://image.tmdb.org/t/p/w500/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg
41,44912,51.872839,"Jun, 2011",1hr 54min,Green Lantern,5.1,2487,Martin Campbell,adventure action thriller sciencefiction dccomic transformation superhero alien alieninfection magicalobject protector superpower origin 3d century small powerful force warrior call green lantern corps swear intergalactic order green lantern wear ring grant superpower new enemy call parallax threaten destroy balance power universe fate fate earth lie hand human recruit delinepicture warnerbro dcentertainment darkest hour light ryanreynold blakelively petersarsgaard martincampbell,https://image.tmdb.org/t/p/w500/fj21HwUprqjjwTdkKC1XZurRSpV.jpg
42,10193,59.995418,"Jun, 2010",1hr 43min,Toy Story 3,7.6,4597,Lee Unkrich,animation family comedy hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory woody buzz rest andys toy not play year andy college gang find accidentally leave nefarious day care center toy band escape return home andy waltdisneypicture pixaranimationstudio toy gets leave tomhank timallen nedbeatty leeunkrich,https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg
43,534,71.862892,"May, 2009",1hr 55min,Terminator Salvation,5.9,2463,McG,action sciencefiction thriller savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation postapocalyptic dystopia army firearm wartime losangele grow postapocalyptic 2018 john connor lead resistance human increasingly dominate militaristic robot marcus wright appear existence confuse mission connor try determine wright come future past   s friend foe columbiapicture thehalcyoncompany wonderlandsoundandvision warnerbro end begin christianbale samworthington antonyelchin mcg,https://image.tmdb.org/t/p/w500/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg
44,168259,102.322217,"Apr, 2015",2hr 17min,Furious 7,7.3,4176,James Wan,action carrace speed revenge suspense car race musclecar deckard shaw seek revenge dominic toretto family comatose brother universalpictures originalfilm fujitelevisionnetwork dentsu oneracefilms chinafilmco québecproductionservicestaxcredit mediarightscapitalmrc abudhabifilmcommission coloradoofficeoffilmtelevisionmedia vengeance hit home vindiesel paulwalker dwaynejohnson jameswan,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg
45,72190,81.834855,"Jun, 2013",1hr 56min,World War Z,6.7,5560,Marc Forster,action drama horror sciencefiction thriller dystopia apocalypse zombie nuclearweapon multipleperspective zombieapocalypse life united nations investigator gerry lane family content suddenly world plague mysterious infection turn human population rampage mindless zombie barely escape chaos lane persuade mission investigate disease follow perilous trek world lane brave horrific danger long odd find answer human civilization fall paramountpictures gkfilms skydanceproduction hemispheremediacapital apparatusproduction latinapicture 2dux² remember philly bradpitt mireilleenos abigailhargrove marcforster,https://image.tmdb.org/t/p/w500/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg
46,127585,118.078691,"May, 2014",2hr 11min,X-Men: Days of Future Past,7.5,6032,Bryan Singer,action adventure fantasy sciencefiction 1970 mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture ultimate xmen ensemble fight war survival specie time period join force young self epic battle change past – save future twentiethcenturyfoxfilmcorporation donnerscompany marvelentertainment badhatharryproduction tsgentertainment downproduction revolutionsunstudio save future alter past hughjackman jamesmcavoy michaelfassbender bryansinger,https://image.tmdb.org/t/p/w500/tYfijzolzgoMOtegh1Y7j2Enorg.jpg
47,54138,78.291018,"May, 2013",2hr 12min,Star Trek Into Darkness,7.4,4418,J.J. Abrams,action adventure sciencefiction spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d crew enterprise call home find unstoppable force terror organization detonate fleet stand leave world state crisis   personal score settle captain kirk lead manhunt warzone world capture man weapon mass destruction hero propel epic chess game life death love challenge friendship tear apart sacrifice family kirk leave crew paramountpicture skydanceproductions badrobot kurtzmanorci earth fall chrispine zacharyquinto zoesaldana jjabram,https://image.tmdb.org/t/p/w500/7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg
48,81005,43.349855,"Feb, 2013",1hr 54min,Jack the Giant Slayer,5.5,2598,Bryan Singer,action family fantasy basedonfairytale giant story ancient war reignite young farmhand unwittingly open gateway world fearsome race giant unleash earth time century giant strive reclaim land lose force young man jack battle life stop fight kingdom people love brave princess come face face unstoppable warrior think exist legend – get chance legend newlinecinema originalfilm legendarypictures warnerbros bigkidpicture badhatharryproduction prepare giant adventure nicholashoult eleanortomlinson ewanmcgregor bryansinger,https://image.tmdb.org/t/p/w500/9jSI7saUX9Qz0JLh19jX2ulEwL7.jpg
